id|first_name|last_name|nickname|dob|nationality|height|weight|role
2297|Deian|Boldor||1995-02-03|Romania|189|79|defender
2298|Gianmarco|Chironi||1997-09-07|Italy|||goalkeeper
2299|Francesco|Forte||1993-05-01|Italy|187|75|striker
2300|Lucas Pedro|Alves de Lima|Lucas Lima|1991-10-10|Brazil|179|72|defender
2301|Eduardo Bubacar|Baldé||1999-03-10|Guinea-Bissau|||
2302|Christopher|Wooh||2001-09-18|France|190||defender
2303|Mikael Filipe|Viana de Souza|Mikael|1999-05-28|Brazil|||striker
2304|Ragnar|Klavan||1985-10-30|Estonia|187|85|
2305|Mouhamadou|Sarr||1997-01-05|Senegal|190|77|goalkeeper
2306|Thorsten|Kirschbaum||1987-04-20|Germany|195|91|goalkeeper
2307|Teun|Koopmeiners|Teun Koopmeiners|1998-02-28|Netherlands|183|77|Defensive Midfielder
2308|Bartolomeu|Jacinto Quissanga|Bastos|1991-03-27|Angola|184|77|defender
2309|Frank|Tsadjout||1999-07-28|Italy|190|75|striker
2310|El Hadji|Dieye||2002-06-06|Senegal|||
2311|Massimo|Coda||1988-11-10|Italy|184|72|striker
2312|Aleix|Gorjón||2002-09-26|Spain|||defender
2313|Mathias|Pereira Lage||1996-11-30|Portugal|180|67|midfielder
2314|Eric|Choupo-Moting||1989-03-23|Cameroon|191|90|striker
2315|Ezequiel|Garay||1986-10-10|Argentina|189|90|defender
2316|Yuri|Berchiche||1990-02-10|Spain|181|79|defender
2317|Yusuf|Demir||2003-06-02|Austria|173|69|
2318|Omenuke|Mfulu||1994-03-20|Congo DR|182|76|Defensive Midfielder
2319|Jean-Manuel|Mbom||2000-02-24|Germany|183|80|
2320|Alberto|Milan||2003-04-04|Italy|||
2321|Phil|Foden||2000-05-28|England|171|70|midfielder
2322|Pathé|Ciss||1994-03-16|Senegal|183|71|Defensive Midfielder
2323|Aly|Ndom||1996-05-30|France|188|86|midfielder
2324|Pablo|Ramón||2001-06-30|Spain|186|76|defender
2325|Loïc|Badé||2000-04-11|France|191|89|defender
2326|Bryan Silva|Teixeira||2000-09-01|France|173|73|midfielder
2327|Pol|Lozano||1999-10-06|Spain|177|62|midfielder
2328|Christian|Santos||1988-03-24|Venezuela|183|75|
2329|Keidi|Bare||1997-08-28|Albania|174|66|Defensive Midfielder
2330|Troy|Parrott||2002-02-04|Republic of Ireland|185|73|striker
2331|Mason|Holgate||1996-10-22|England|184|63|defender
2332|Ismaïla|Sarr|Ismaïla Sarr|1998-02-25|Senegal|185|76|midfielder
2333|Abdoul Razzagui|Camara||1990-02-20|France|178||striker
2334|Claudio|Medina||1993-09-04|Spain|186|83|striker
2335|Adam|Marusic||1992-10-17|Montenegro|185|76|defender
2336|Naouirou|Ahamada||2002-03-29|France|183|73|midfielder
2337|Malik|Tillman||2002-05-28|USA|187|71|
2338|Lacina|Emeghara Traoré||1990-08-20|Côte d&#39;Ivoire|203|87|striker
2339|Nicolás|Pareja||1984-01-19|Argentina|181|75|defender
2340|Jonathan|Schmid||1990-06-22|France|179|79|midfielder
2341|Sebastian|Jung||1990-06-22|Germany|179|72|defender
2342|Tommaso|Milanese||2002-07-31|Italy|173|61|midfielder
2343|Anthony|Lopes|Anthony Lopes|1990-10-01|Portugal|184|81|goalkeeper
2344|Julian|Justvan||1998-04-02|Germany|178|69|midfielder
2345|Diego|Alende||1997-08-25|Spain|180|76|defender
2346|Lucas Pezzini|Leiva|Lucas Leiva|1987-01-09|Brazil|179|74|midfielder
2347|Lewis|Dunk||1991-11-21|England|192|88|defender
2348|Abdou|Diallo|Abdou Diallo|1996-05-04|Senegal|187|79|defender
2349|Giancarlo|González||1988-02-08|Costa Rica|186|77|defender
2350|Andrew|Surman||1986-08-20|England|178|73|midfielder
2351|Vittorio|Parigini||1996-03-25|Italy|180|71|
2352|Eiji|Kawashima||1983-03-20|Japan|185|82|goalkeeper
2353|Christopher|Jullien||1993-03-22|France|196|88|defender
2354|Gael|Nsombi||2003-01-25|France|||
2355|Nicolas|Viola||1989-10-12|Italy|180|76|midfielder
2356|Felipe|Rodríguez Chacartegui|Felipe Chacartegui|1998-02-23|Spain|176|72|defender
2357|Josuha|Guilavogui||1990-09-19|France|188|77|Defensive Midfielder
2358|Eusebio|Monzó|Euse|2000-12-04|Spain|188||defender
2359|Mário Rui|Silva Duarte|Mário Rui|1991-05-27|Portugal|170|67|defender
2360|Arlind|Ajeti||1993-09-25|Albania|184|83|defender
2361|Marc|Vidal||1991-06-03|France|183|83|goalkeeper
2362|Ángel|Baena||2000-10-13|Spain|175||midfielder
2363|Dejan|Drazic||1995-09-26|Serbia|175|69|
2364|Cesc|Fàbregas||1987-05-04|Spain|180|77|midfielder
2365|Jacopo|Sassi||2003-07-24|Italy|||
2366|Gabriele|Marchegiani||1996-06-03|Italy|183|78|
2367|Mathew|Ryan||1992-04-08|Australia|184|82|goalkeeper
2368|Yeferson|Paz||2002-06-13|Colombia|176|67|defender
2369|Sergio|Busquets||1988-07-16|Spain|189|76|Defensive Midfielder
2370|Jakub|Iskra||2002-08-13|Poland|183||defender
2371|Julen|Lobete||2000-09-18|Spain|||
2372|Tyler|Dibling|||England|||midfielder
2373|Yann|Jouffre||1984-07-23|France|176|74|Ala
2374|Assil|Jaziri||1999-08-03|Tunisia|||
2375|Marius|Bülter||1993-03-29|Germany|188|85|striker
2376|Mats|Hummels||1988-12-16|Germany|191|94|defender
2377|Gonçalo|Mendes Paciência|Gonçalo Paciência|1994-08-01|Portugal|184|81|striker
2378|Shane|Duffy||1992-01-01|Republic of Ireland|193|76|defender
2379|Peter|Pekarík||1986-10-30|Slovakia|177|73|defender
2380|Carlos|Bacca||1986-09-08|Colombia|181|77|striker
2381|Angel|Rangel||1982-10-28|Spain|188|84|Difensore
2382|Aitor|Paredes||2000-04-29|Spain|||defender
2383|Lewis|Richards||2001-10-15|Republic of Ireland|||defender
2384|Franck|Kessié||1996-12-19|Côte d&#39;Ivoire|183|74|Defensive Midfielder
2385|Moritz|Nicolas||1997-10-21|Germany|193|87|goalkeeper
2386|Bruno|Guimarães Rodriguez Moura|Bruno Guimarães|1997-11-16|Brazil|182|74|Defensive Midfielder
2387|Marc|Pugh||1987-04-02|England|180|72|midfielder
2388|Ludovic|Ajorque||1994-02-25|France|197|92|striker
2389|Mandela|Egbo||1997-08-17|England|180|74|Wing Back
2390|Jaden|Philogene-Bidace||2002-02-08|England|||
2391|Scott|Banks||2001-09-26|Scotland|||midfielder
2392|Tariqe|Fosu-Henry||1995-11-05|Ghana|180|75|midfielder
2393|Tyronne|Ebuehi||1995-12-16|Nigeria|187|76|defender
2394|Malcom Filipe|Silva de Oliveira|Malcom|1997-02-26|Brazil|171|74|midfielder
2395|William|De Camargo|William De Camargo|1999-02-27|Brazil|169|70|
2396|Wilfried|Bony||1988-12-10|Côte d&#39;Ivoire|182|88|
2397|Jeremy|Ngakia||2000-09-07|England|||defender
2398|Matthew|Longstaff||2000-03-21|England|||Defensive Midfielder
2399|Jonathan|Gómez||2003-09-01|Mexico|176|71|defender
2400|Marcos|Rojo||1990-03-20|Argentina|186|82|defender
2401|Fabio|Ceravolo||1987-03-05|Italy|180|73|striker
2402|Rémy|Cabella||1990-03-08|France|171|68|midfielder
2403|Benjamin|Leneis||1999-03-08|Germany|195|91|goalkeeper
2404|Fayçal|Fajr||1988-08-01|Morocco|178|72|midfielder
2405|Alexis Alegue|Elandi|Alexis Alegue|1996-12-23|Cameroon|175|68|midfielder
2406|Moreto|Moro Cassamá|Moreto Cassamá|1998-02-16|Guinea-Bissau|165|63|midfielder
2407|Amadou|Diambo||2001-02-12|Ghana|||
2408|Salvatore|Sirigu||1987-01-12|Italy|192|80|goalkeeper
2409|Víctor|Gómez|Víctor Gómez|2000-04-01|Spain|166|69|
2410|Raphaël|Adiceam||1990-07-03|France|179|72|Portiere
2411|Jon|Pacheco||2001-01-08|Spain|184|77|
2412|Robin|Quaison||1993-10-09|Sweden|183|76|striker
2413|Lorenzo|Prso||2001-01-18|France|184|76|
2414|Kylian|Mbappé||1998-12-20|France|178|73|striker
2415|Alberto|de la Bella||1985-12-02|Spain|182||defender
2416|Francisco Javier|Hidalgo|Son|1994-03-30|Spain|178|72|defender
2417|Ken|Reichel||1986-12-19|Germany|185|84|defender
2418|Michael|Santos||1993-03-13|Uruguay|175|68|midfielder
2419|Manuel|Lanzini||1993-02-15|Argentina|167|59|midfielder
2420|Jacopo|De Matteis||2002-12-28|Italy|||goalkeeper
2421|Tiago|Çukur||2002-11-30|Turkey|196|80|striker
2422|Dimitri|Payet||1987-03-29|France|175|77|midfielder
2423|Amadou|Dia N&#39;Diaye||2000-01-02|Senegal|186|70|
2424|David|Ramos||1997-08-19|Spain|175||midfielder
2425|Renaud|Cohade||1984-09-29|France|181|75|midfielder
2426|Radamel|Falcao||1986-02-10|Colombia|177|72|striker
2427|Wout|Weghorst||1992-08-07|Netherlands|197|84|striker
2428|Dimitri|Lavalée||1997-01-13|Belgium|187|76|
2429|Genki|Haraguchi||1991-05-09|Japan|179|68|midfielder
2430|Martín|Satriano||2001-02-20|Uruguay|187|75|striker
2431|Antonio|Di Gaudio||1989-08-16|Italy|170|63|midfielder
2432|Michel|Vlap||1997-06-02|Netherlands|191|81|midfielder
2433|Wayne|Routledge||1985-01-07|England|170|64|Ala
2434|Saman|Ghoddos||1993-09-06|IR Iran|176|75|striker
2435|Terence|Kongolo||1994-02-14|Netherlands|188|70|defender
2436|José David|Menargues Manzanares|Joseda|2002-05-01|Spain|180||
2437|Dan|Burn||1992-05-09|England|198|87|defender
2438|Julian|Baumgartlinger||1988-01-02|Austria|181|85|Defensive Midfielder
2439|Rene|Krhin||1990-05-21|Slovenia|189|80|midfielder
2440|Arnau|Comas||2000-04-11|Spain|||defender
2441|Didier|Lamkel Zé||1996-09-17|Cameroon|192|78|midfielder
2442|Ernesto|Torregrossa||1992-06-28|Italy|184|80|striker
2443|Nabil|El Zhar||1986-08-27|Morocco|171|66|midfielder
2444|Louie|Moulden||2002-01-06|England|||goalkeeper
2445|Alfie|Mawson||1994-01-19|England|189|90|defender
2446|Ramzi|Aya||1990-02-08|Italy|184|71|
2447|Aster|Vranckx||2002-10-04|Belgium|183|78|
2448|Koen|Casteels||1992-06-25|Belgium|197|78|goalkeeper
2449|Nemanja|Radoja||1993-02-06|Serbia|186|77|Defensive Midfielder
2450|Marlon|Morgenstern||2001-01-30|Germany|184||defender
2451|Takefusa|Kubo||2001-06-04|Japan|173|67|midfielder
2452|Samuel|Edozie||2003-01-28|England|||
2453|Riccardo|Calafiori||2002-05-19|Italy|||defender
2454|Roland|Sallai||1997-05-22|Hungary|183|75|midfielder
2455|Sam|Clucas||1990-09-25|England|178|75|midfielder
2456|Fabian|Lustenberger||1988-05-02|Switzerland|182|73|
2457|Sebastiano|Esposito||2002-07-02|Italy|186|76|striker
2458|Martín|Mantovani||1984-07-07|Argentina|184|78|defender
2459|Francesco|Di Mariano||1996-04-20|Italy|177|68|midfielder
2460|Luca|Unbehaun||2001-02-27|Germany|185|82|
2461|Gaëtan|Charbonnier||1988-12-27|France|188|80|striker
2462|Tiago|Abiola Delfim Almeida Ilori|Tiago Ilori|1993-02-26|Portugal|190|80|defender
2463|Thierry|Ambrose||1997-03-28|France|178|75|striker
2464|Kévin|Boma||2002-11-20|France|187|73|
2465|Birk|Risa||1998-02-13|Norway|188|79|
2466|Filip|Stankovic||2002-02-25|Serbia|187|78|goalkeeper
2467|Jakob|Busk||1993-09-12|Denmark|189|88|goalkeeper
2468|Marc|Pubill||2003-06-20|Spain|||defender
2469|Nordin|Amrabat||1987-03-31|Morocco|179|73|
2470|Darío|Poveda||1997-03-13|Spain|185|75|striker
2471|Gautier|Lloris||1995-07-18|France|192|87|defender
2472|Vitja|Valencic||1999-03-12|Slovenia|||
2473|Kelvin|Amian||1998-02-08|France|180|78|defender
2474|Aleksandar|Radovanovic||1993-11-11|Serbia|189|83|
2475|Lasse|Schöne||1986-05-27|Denmark|177|78|Defensive Midfielder
2476|Strahinja|Pavlovic||2001-05-24|Serbia|194|84|
2477|Luca|Bazzoli||2000-11-01|Germany|188||defender
2478|Jonathan|Burkardt||2000-07-11|Germany|181|76|
2479|Florian|Grillitsch||1995-08-07|Austria|187|77|midfielder
2480|Yoann|Touzghar||1986-11-29|Tunisia|179|75|striker
2481|Hugo|Guillamón|Hugo Guillamón|2000-01-31|Spain|178|62|defender
2482|David|Lombán||1987-06-05|Spain|186|80|Difensore Centrale
2483|Pedro|Rodríguez Ledesma|Pedro|1987-07-28|Spain|169|65|midfielder
2484|Manuel|De Luca||1998-07-17|Italy|190|79|striker
2485|Thomas|Giaquinto||2000-03-20|Argentina|||
2486|Martin|Adeline||2003-12-02|France|||midfielder
2487|Jan|Kubala||2000-05-05|Italy|||midfielder
2488|Ryan|Finnigan||2003-09-23|England|||
2489|Sargis|Adamyan||1993-05-23|Armenia|184|75|
2490|Aaron|Ramsey|Aaron Ramsey|2003-01-21|England|||
2491|Marcos|Lavin||1996-09-02|Spain|187|79|
2492|Pablo|Hervías||1993-03-08|Spain|174|67|midfielder
2493|Iñigo|Ruiz de Galarreta||1993-08-06|Spain|175|69|midfielder
2494|Mattia|Florio||2003-09-05|Italy|180||striker
2495|Nicolò|Cavuoti||2003-04-04|Italy|177||midfielder
2496|Niclas|Füllkrug||1993-02-09|Germany|189|83|striker
2497|Luca|Crosta||1998-02-23|Italy|190|78|
2498|Jon|Sillero||1998-05-24|Spain|177|80|defender
2499|Izet|Hajrovic||1991-08-04|Bosnia and Herzegovina|177|72|
2500|Nicolò|Armini||2001-03-07|Italy|||defender
2501|Hugo|Álvarez||2003-07-02|Spain|||
2502|Fernando|Llorente||1985-02-26|Spain|193|90|striker
2503|Taylor|Gardner-Hickman|||England|||
2504|Rafal|Kurzawa||1993-01-29|Poland|182|73|
2505|Jonny|Evans||1988-01-03|Northern Ireland|188|77|defender
2506|Guangtai|Jiang||1994-05-27|England|181|76|defender
2507|Adrien|Hunou||1994-01-19|France|176|66|midfielder
2508|Emmanuel|Latte Lath||1999-01-02|Côte d&#39;Ivoire|177|75|midfielder
2509|Xian|Emmers||1999-07-20|Belgium|178|72|midfielder
2510|Joshua|Brenet||1994-03-20|Netherlands|181|74|defender
2511|Pascal|Struijk||1999-08-11|Netherlands|190||defender
2512|Fabricio|Agosto Ramírez|Fabri|1987-12-31|Spain|184|79|goalkeeper
2513|Christian|Rivera||1997-07-09|Spain|191|87|midfielder
2514|Daniel|Langley||2000-12-28|England|||goalkeeper
2515|Brice|Tutu|||France|||
2516|Timothee|Nkada||1999-07-20|France|177|68|
2517|Wilfried Stephane|Singo||2000-12-25|Côte d&#39;Ivoire|182|79|Wing Back
2518|Abdallah|Mohamed Abdallah||1999-04-11|Comoros Islands|178||defender
2519|Matz|Sels||1992-02-26|Belgium|188|75|goalkeeper
2520|Sergio|Diez Roldán|Sergio Diez|2003-07-28|Spain|178||defender
2521|Näis|Djouahra||1999-11-23|France|171|67|midfielder
2522|Matthieu|Saunier||1990-02-07|France|182|76|defender
2523|Andrea|Pinamonti||1999-05-19|Italy|188|72|midfielder
2524|Luka|Bogdan||1996-03-26|Croatia|195|76|defender
2525|Lucien|Agoumé||2002-02-09|France|185|72|midfielder
2526|Piotr|Zielinski||1994-05-20|Poland|180|75|midfielder
2527|Kayne|Ramsay||2000-10-10|England|||defender
2528|Cheick|Keita||1996-04-16|Mali|170|76|Wing Back
2529|Erdal|Rakip||1996-02-13|North Macedonia|180|72|midfielder
2530|Imrân|Louza||1999-05-01|Morocco|178|65|
2531|Simone|Padoin||1984-03-18|Italy|179|73|midfielder
2532|Juan Miguel|Jiménez López|Juanmi|1993-05-20|Spain|172|69|striker
2533|Sergio|Camello||2001-02-10|Spain|177|69|
2534|Jomaine|Consbruch||2002-01-26|Germany|174|62|Defensive Midfielder
2535|Yadaly|Diaby||2000-08-09|France|||
2536|Thanawat|Suengchitthawon||2000-01-08|Thailand|||midfielder
2537|Alessandro|Tuia||1990-06-08|Italy|184|78|
2538|Dara|O&#39;Shea||1999-03-04|Republic of Ireland|188||defender
2539|Thomas|Rodríguez||1996-04-05|Chile|184|75|
2540|Thomas|Strakosha||1995-03-19|Albania|186|78|goalkeeper
2541|Nicolás|Schiappacasse||1999-01-12|Uruguay|180|73|striker
2542|Javier Enrique|Delgado Saverio|Kike Saverio|1999-06-19|Ecuador|178|69|midfielder
2543|Francisco Javier|García Fernández|Javi García|1987-02-08|Spain|187|82|Defensive Midfielder
2544|Nicolò|Manfredini||1988-05-01|Italy|190|86|goalkeeper
2545|Aaron|Hunt||1986-09-04|Germany|183|73|midfielder
2546|Henrique|Silva Milagres|Henrique|1994-04-25|Brazil|173|71|defender
2547|Stephen|Henderson||1988-05-02|Republic of Ireland|193|87|goalkeeper
2548|Raul|Oprut||1998-01-04|Romania|184|78|
2549|Raheem|Sterling||1994-12-08|England|170|69|striker
2550|Jesús|Areso||1999-07-02|Spain|182|81|defender
2551|Logan Evans|Costa|Logan Costa|2001-04-01|Cabo Verde|190|91|
2552|Iker|Bravo|Iker Bravo|2005-01-13|Spain|||
2553|Georges|Mandjeck||1988-12-09|Cameroon|185|75|midfielder
2554|Luca|Rizzo||1992-04-24|Italy|188|75|midfielder
2555|Marco|Storari||1977-01-07|Italy|187||goalkeeper
2556|Aaron|Herzog||1998-01-30|Germany|180|77|midfielder
2557|Aleksandr|Kokorin||1991-03-19|Russia|181|74|striker
2558|Andrés|Prieto||1993-10-17|Spain|194|91|
2559|Óscar|Gil|Óscar Gil|1998-04-26|Spain|173||defender
2560|Lilian|Egloff||2002-08-20|Germany|182|81|midfielder
2561|Valerio|Biagini||2003-10-20|Italy|||goalkeeper
2562|Ádám|Nagy|Ádám Nagy|1995-06-17|Hungary|178|70|midfielder
2563|Cristiano|Biraghi||1992-09-01|Italy|185|78|defender
2564|Julen|Agirrezabala|Julen Agirrezabala|2000-12-26|Spain|||
2565|Noah|Atubolu||2002-05-25|Germany|190|78|goalkeeper
2566|Maximilian|Arnold||1994-05-27|Germany|184|74|midfielder
2567|Dominik|Kaiser||1988-09-16|Germany|171|69|midfielder
2568|Diego|López||2002-05-13|Spain|||
2569|Francisco|Álvarez||1998-01-21|Spain|178||
2570|Jagos|Vukovic||1988-06-10|Serbia|195|89|defender
2571|José Ignacio|Martínez García|Nacho|1989-03-07|Spain|174|63|defender
2572|Yann|Karamoh||1998-07-08|France|185|77|midfielder
2573|José David|Álvarez Adsuar|Joseda Álvarez|2001-01-22|Spain|183||defender
2574|Nick|Proschwitz||1986-11-28|Germany|192|86|striker
2575|Adam|Smith||1991-04-29|England|180|78|defender
2576|Christian|Clemens||1991-08-04|Germany|179|79|midfielder
2577|Pierre-Emile|Højbjerg||1995-08-05|Denmark|187|84|midfielder
2578|Jon|Morcillo||1998-09-15|Spain|183|72|midfielder
2579|Akim|Zedadka||1995-05-30|Algeria|173|72|
2580|Matheus|Santos Carneiro Da Cunha|Matheus Cunha|1999-05-27|Brazil|184|76|striker
2581|Yannik|Keitel||2000-02-15|Germany|186|85|midfielder
2582|Jordan|Torunarigha||1997-08-07|Germany|191|80|defender
2583|Joel|Ward||1989-10-29|England|188|83|defender
2584|Ashley|Barnes||1989-10-30|England|186|77|striker
2585|Illan|Meslier||2000-03-02|France|193|74|
2586|Gauthier|Gallon||1993-04-23|France|186|79|goalkeeper
2587|Vincent|Janssen||1994-06-15|Netherlands|180|79|striker
2588|Rubén|Pérez|Rubén Pérez|1989-04-26|Spain|178|73|midfielder
2589|Marc|Cucurella||1998-07-22|Spain|172|66|Wing Back
2590|Tomer|Hemed||1987-05-02|Israel|186|80|striker
2591|George|Puscas||1996-04-08|Romania|188|77|striker
2592|Samuel|Sáiz Alonso|Samu Sáiz|1991-01-22|Spain|174|68|midfielder
2593|Ben|Osborn||1994-08-05|England|176|75|midfielder
2594|Domenico|Berardi||1994-08-01|Italy|183|72|striker
2595|Luis Miguel|Sánchez Benítez|Luismi|1992-05-05|Spain|180|73|midfielder
2596|Sergej|Grubac||2000-05-29|Montenegro|||
2597|Benny|Ashley-Seal|Benny Ashley-Seal|1998-11-21|England|||striker
2598|Davide|Di Gennaro||1988-06-16|Italy|181|72|midfielder
2599|Abdoulaye|Sidibé||2002-02-09|France|||midfielder
2600|Vincent|Manceau||1989-07-10|France|176|70|defender
2601|Alejandro|Blanco|Álex Blanco|1998-12-16|Spain|175|70|
2602|Daam|Foulon||1999-03-23|Belgium|180||defender
2603|Ngonda|Muzinga||1994-12-31|Congo DR|172|76|
2604|Taleb|Tawatha||1992-06-21|Israel|176|81|
2605|Álvaro José|Jiménez Guerrero|Álvaro Jiménez|1995-05-19|Spain|175|71|midfielder
2606|Darren|Fletcher||1984-02-01|Scotland|183|83|midfielder
2607|Stefan|Ilsanker||1989-05-18|Austria|189|85|Defensive Midfielder
2608|Cristiano Ronaldo|dos Santos Aveiro|Cristiano Ronaldo|1985-02-05|Portugal|187|83|striker
2609|Alejandro|dos Santos Ferreira|Álex dos Santos|1999-01-15|Brazil|185|79|goalkeeper
2610|Antonio|Martínez López|Toni Martínez|1997-06-30|Spain|180|70|striker
2611|Ander|Cantero||1995-01-09|Spain|189|82|goalkeeper
2612|Mattia|Zaccagni||1995-06-16|Italy|177|63|midfielder
2613|Assane|Dioussé||1997-09-20|Senegal|175|68|midfielder
2614|Alejandro|Asensio||2000-09-14|Spain|||midfielder
2615|Thibault|De Smet||1998-06-05|Belgium|183|65|defender
2616|Tom|Bischof||2005-06-28|Germany|176|66|
2617|Ángel|Rodríguez|Ángel Rodríguez|1987-04-26|Spain|172|68|striker
2618|Lassana|Diarra|Lass Diarra|1985-03-10|France|173|73|Defensive Midfielder
2619|Lyanco Evangelista|Silveira Neves Vojnovic|Lyanco|1997-02-01|Brazil|187|85|defender
2620|Nathanaël|Mbuku||2002-03-16|France|170|74|midfielder
2621|Santiago|Cáseres||1997-02-25|Argentina|177|77|Defensive Midfielder
2622|Davide|Santon||1991-01-02|Italy|187|77|defender
2623|Raúl|de Tomás||1994-10-17|Spain|180|72|striker
2624|Jeremy|Grimm||1987-03-27|France|181|69|midfielder
2625|Iker|Muniain||1992-12-19|Spain|170|65|midfielder
2626|Ben|Johnson||2000-01-24|England|175|67|
2627|Kaur|Kivila||2003-11-22|Estonia|||goalkeeper
2628|Abdoulaye Jules|Keita||1998-07-20|Guinea|168|56|midfielder
2629|Filip|Kusic||1996-06-03|Germany|186|80|defender
2630|Faouzi|Ghoulam||1991-02-01|Algeria|186|80|defender
2631|Iván|Marcone||1990-06-03|Argentina|184|79|Defensive Midfielder
2632|Tanner|Tessmann||2001-09-24|USA|192|86|midfielder
2633|José Antonio|Ferrández Pomares|Josan|1989-12-03|Spain|175|68|midfielder
2634|Marko|Lazetic||2004-01-22|Serbia|||
2635|Adama|Soumaoro||1992-06-18|France|186|93|defender
2636|Mamadou|Sakho||1990-02-13|France|187|83|defender
2637|Lorenzo|Del Pinto||1990-06-17|Italy|180|76|midfielder
2638|Jozo|Stanic||1999-04-06|Croatia|184|78|defender
2639|Niccolò|Chiorra||2001-03-16|Italy|||goalkeeper
2640|Alejandro|González|Alejandro González|1988-03-23|Uruguay|184|79|defender
2641|Dylan|Lempereur||1998-10-24|France|178|78|
2642|Lorenzo|Moretti|Lorenzo Moretti|2002-02-26|Italy|188|75|defender
2643|Robin|Olsen||1990-01-08|Sweden|198|89|goalkeeper
2644|Bradley|Locko||2002-05-06|France|||
2645|Mariano|Izco||1983-03-13|Argentina|180|77|midfielder
2646|Marcelo Vieira|Da Silva Junior|Marcelo|1988-05-12|Brazil|174|75|defender
2647|Zito André|Sebastiao Luvumbo|Zito|2002-03-09|Angola|171||midfielder
2648|Amad|Diallo||2002-07-11|Côte d&#39;Ivoire|173|72|midfielder
2649|Raphael|Dwamena||1995-09-12|Ghana|184|81|striker
2650|Paul|Will||1999-03-01|Germany|185|77|midfielder
2651|Adrien|Louveau||2000-02-01|France|||defender
2652|Carlos Henrique|Casimiro|Casemiro|1992-02-23|Brazil|185|84|Defensive Midfielder
2653|Nuno Albertino|Varela Tavares|Nuno Tavares|2000-01-26|Portugal|183|75|
2654|José Manuel|Cabrera|Lanchi|2001-06-23|Spain|||defender
2655|Fredrik|Bjørkan||1998-08-21|Norway|180||
2656|Boubakar|Kouyaté|Kiki Kouyate|1997-04-15|Mali|193|78|defender
2657|Sada|Thioub||1995-06-01|Senegal|179|75|striker
2658|Kaio Jorge|Pinto Ramos|Kaio Jorge|2002-01-24|Brazil|176|64|striker
2659|Harrison|Reed||1995-01-27|England|181|72|midfielder
2660|Luigi|Samele||2002-04-09|Italy|||striker
2661|Fabio|González||1997-02-12|Spain|||Centrocampista Centrale
